c_id,country,continent,year,pets_per_thou,lifeexp,population,gdp_per_cap,trans_deaths,resp_deaths,ext_deaths,total_perthou
1,Albania,Europe,1982,      14,70.419998,2780097,      3631, , , , 
1,Albania,Europe,1987,      43,72,3075321,      3739,305,2688,   736,762.400024414063
1,Albania,Europe,1992,      61,71.581001,3326498,      2497,423,2522,  1065,690.5
1,Albania,Europe,1997,      29,72.949997,3428038,      3193,183,1357,  2596,620.599975585938
1,Albania,Europe,2002,      16,75.651001,3508512,      4604,314,906,  1248,593.400024414063
1,Albania,Europe,2007,      70,76.422997,3600523,      5937,269,590,   964,457.100006103516
2,Argentina,Americas,1982,      35,69.942001,29341374,      8998,4226,12735, 15531,787.1
2,Argentina,Americas,1987,      45,70.774002,31620918,      9140,3671,16333, 16490,817.599975585938
2,Argentina,Americas,1992,-1,71.867996,33958947,      9308,3860,16787, 17806,763.599975585938
2,Argentina,Americas,1997,na,73.275002,36203463,     10967,4118,28384, 19015,684.5
2,Argentina,Americas,2002,na,74.339996,38331121,      8798,3605,35999, 19660,658.5
2,Argentina,Americas,2007,       4,75.32,40301927,     12779,4315,48115, 19461,633.299987792969
3,Australia,Oceania,1982,      62,74.739998,15184200,     19477,3655,8850,  8202,674.3
3,Australia,Oceania,1987,      15,76.32,16257249,     21889,3084,8519,  7963,598.099975585938
3,Australia,Oceania,1992,      72,77.559998,17481977,     23425,2337,10083,  7308,539.200012207031
3,Australia,Oceania,1997,      93,78.830002,18565243,     26998,1946,13192,  7542,484.5
3,Australia,Oceania,2002,      58,80.370003,19546792,     30688,1905,11640,  7786,422.600006103516
3,Australia,Oceania,2007,none,81.235001,20434176,     34435,1715,11623,  8232,377.700012207031
4,Austria,Europe,1982,-1,73.18,7574613,     21597,2042,4690,  6971,764.5
4,Austria,Europe,1987,-1,74.940002,7578903,     23688,1544,4118,  6135,671
4,Austria,Europe,1992,-1,76.040001,7914969,     27042,1316,3926,  5094,618.299987792969
4,Austria,Europe,1997,-1,77.510002,8069876,     29096,1086,3555,  4428,552
4,Austria,Europe,2002,-1,78.980003,8148312,     32418,938,4090,  4317,491.600006103516
4,Austria,Europe,2007,-1,79.829002,8199783,     36126,702,4552,  4217,433.200012207031
5,Bahrain,Asia,1982,      61,69.052002,377967,     19211, , ,na, 
5,Bahrain,Asia,1987,      95,70.75,454612,     18524,52,82,   124,890.200012207031
5,Bahrain,Asia,1992,      24,72.600998,529491,     19036, , , , 
5,Bahrain,Asia,1997,      34,73.925003,598561,     20292,74,76,   167,729.5
5,Bahrain,Asia,2002,       5,74.794998,656397,     23404,80,118,   178,694.700012207031
5,Bahrain,Asia,2007,      74,75.635002,708573,     29796,100,173,   225,506.299987792969
6,Belgium,Europe,1982,      12,73.93,9856303,     20980,2263,7819,  8137,731.9
6,Belgium,urope,1987,       6,75.349998,9870200,     22526,2064,7687,  6850,643.799987792969
6,Belgium,Europe,1992,      19,76.459999,10045622,     25576,1682,8858,  6433,594.299987792969
6,Belgium,Europe,1997,      10,77.529999,10199787,     27561,1513,10671,  6292,552.400024414063
6,Belgium,Europe,2002,      68,78.32,10311970,     30486,1449,12108,  6558,519.299987792969
6,Belgium,Europe,2007,      69,79.441002,10392226,     33693,1146,11333,  6420,453.600006103516
7,Bolivia,Americas,1982,      87,53.859001,5642224,      3157, , , , 
7,Bolivia,Americas,1987,      35,57.250999,6156369,      2754, , ,na, 
7,Bolivia,Americas,1992,      50,59.957001,6893451,      2962, , , , 
7,Bolivia,Americas,1997,      70,62.049999,7693188,      3326, , , , 
7,Bolivia,Americas,2002,      21,63.882999,8445134,      3413,115,1286,  2861, 
7,Bolivia,Americas,2007,      77,65.554001,9119152,      3822, , , , 
8,Bosnia and Herzegovina,Europe,1982,       7,70.690002,4172693,      4127, , , , 
8,Bosnia and Herzegovina,Europe,1987,      53,71.139999,4338977,      4314,260,1355,  2184,824.400024414063
8,Bosnia and Herzegovina,Europe,1992,      66,72.178001,4256013,      2547, , , , 
8,Bosnia and Herzegovina,Europe,1997,      94,73.244003,3607000,      4766, , , , 
8,Bosnia and Herzegovina,Europe,2002,      32,74.089996,4165416,      6019, , ,na, 
8,Bosnia and Herzegovina,Europe,2007,      52,74.851997,4552198,      7446, , ,na, 
9,Brazil,Americas,1982,      77,63.335999,128962939,      7031,21250,58261, 73398,893.6
9,Brazil,Americas,1987,      13,65.205002,142938076,      7807,28136,63055, 94382,744.799987792969
9,Brazil,Americas,1992,      56,67.056999,155975974,      6950,27081,69746, 98769,884.299987792969
9,Brazil,South Am,1997,      98,69.388,168546719,      7958,35731,84019,119452,830.099975585938
9,Brazil,South Am,2002,      33,71.005997,179914212,      8131,33270,94541,126430,759.599975585938
9,Brazil,Americas,2007,      54,72.389999,190010647,      9066,38404,104483,131234,675.700012207031
10,Bulgaria,Europe,1982,      51,71.080002,8892098,      8224,1524,8003,  5510,890.4
10,Bulgaria,Europe,1987,      28,71.339996,8971958,      8240,1366,7188,  5508,902
10,Bulgaria,Europe,1992,      35,71.190002,8658506,      6303,1343,6036,  5852,885.799987792969
10,Bulgaria,Europe,1997,      92,70.32,8066057,      5970,988,5618,  5049,982.599975585938
10,Bulgaria,Europe,2002,      41,72.139999,7661799,      7697,976,3329,  4243,848.900024414063
10,Bulgaria,Europe,2007,      10,73.004997,7322858,     10681,1070,4540,  3797,792.5
11,Canada,Americas,1982,      33,75.760002,25201900,     22899,4646,12238, 14165,638
11,Canada,Americas,1987,      62,76.860001,26549700,     26627,4669,14434, 14209,577.700012207031
11,Canada,Americas,1992,      64,77.949997,28523502,     26343,3741,16663, 13116,517.400024414063
